"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"DNK","","ALL","1999","11.04"
"DNK","","ALL","2000","11"
"DNK","","ALL","2001","9.22"
"DNK","","ALL","2002","7.5"
"DNK","","ALL","2003","7.26"
"DNK","","ALL","2004","6.59"
"DNK","","ALL","2005","7.29"
"DNK","","ALL","2006","6.29"
"DNK","","ALL","2007","6.5"
"DNK","","ALL","2008","6.01"
"DNK","","ALL","2009","5.29"
"DNK","","ALL","2010","5.97"
"DNK","","ALL","2011","6.45"
"DNK","","ALL","2012","6.12"
"DNK","","ALL","2013","5.88"
"DNK","","ALL","2014","5.19"
"DNK","","ALL","2015","5.64"
"DNK","","ALL","2016","5.1"
"DNK","","ALL","2017","4.39"
"DNK","","ALL","2018","4.66"
"DNK","","ALL","2019","4.47"
"DNK","","ALL","2020","3.55"
"ESP","","ALL","1980","12.93"
"ESP","","ALL","1981","14.71"
"ESP","","ALL","1982","20.97"
"ESP","","ALL","1983","23.54"
"ESP","","ALL","1984","26.28"
"ESP","","ALL","1985","27.92"
"ESP","","ALL","1986","35.63"
"ESP","","ALL","1987","24.45"
"ESP","","ALL","1988","21.89"
"ESP","","ALL","1989","20.72"
"ESP","","ALL","1990","19.51"
"ESP","","ALL","1991","23.08"
"ESP","","ALL","1992","24.88"
"ESP","","ALL","1993","24.15"
"ESP","","ALL","1995","22.35"
"ESP","","ALL","1996","21.21"
"ESP","","ALL","1997","23.77"
"ESP","","ALL","1998","22.67"
"ESP","","ALL","1999","21.18"
"ESP","","ALL","2000","19.9"
"ESP","","ALL","2001","16.87"
"ESP","","ALL","2002","17.63"
"ESP","","ALL","2003","23.54"
"ESP","","ALL","2004","14.09"
"ESP","","ALL","2005","16.78"
"ESP","","ALL","2006","17.73"
"ESP","","ALL","2007","16.37"
"ESP","","ALL","2008","17"
"ESP","","ALL","2009","15.66"
"ESP","","ALL","2010","14.95"
"ESP","","ALL","2011","13.9"
"ESP","","ALL","2012","12.14"
"ESP","","ALL","2013","11.25"
"ESP","","ALL","2014","10.42"
"ESP","","ALL","2015","8.67"
"ESP","","ALL","2016","10.19"
"ESP","","ALL","2017","9.41"
"ESP","","ALL","2018","9.63"
"ESP","","ALL","2019","8.64"
"ESP","","ALL","2020","6.23"
"EST","","ALL","1980","41.56"
"EST","","ALL","1981","37.64"
"EST","","ALL","1982","37.57"
"EST","","ALL","1983","38.91"
"EST","","ALL","1984","35.95"
"EST","","ALL","1985","35.39"
"EST","","ALL","1986","33.89"
"EST","","ALL","1987","28.73"
"EST","","ALL","1988","30.16"
"EST","","ALL","1989","26.91"
"EST","","ALL","1990","26.96"
"EST","","ALL","1991","26"
"EST","","ALL","1992","26.29"
"EST","","ALL","1993","35.61"
"EST","","ALL","1994","42.6"
"EST","","ALL","1995","43.43"
"EST","","ALL","1996","48.25"
"EST","","ALL","1997","53.16"
"EST","","ALL","1998","59.16"
"EST","","ALL","1999","54.81"
"EST","","ALL","2000","56.62"
"EST","","ALL","2001","51"
"EST","","ALL","2002","44.95"
"EST","","ALL","2003","42.53"
"EST","","ALL","2004","39.41"
"EST","","ALL","2005","35.36"
"EST","","ALL","2006","31.33"
"EST","","ALL","2007","34.01"
"EST","","ALL","2008","29.99"
"EST","","ALL","2009","26.83"
"EST","","ALL","2010","21.48"
"EST","","ALL","2011","22.15"
"EST","","ALL","2012","19.58"
"EST","","ALL","2013","19.95"
"EST","","ALL","2014","17.93"
"EST","","ALL","2015","15.69"
"EST","","ALL","2016","14.36"
"EST","","ALL","2017","12.98"
"EST","","ALL","2018","10.97"
"EST","","ALL","2019","11.12"
"EST","","ALL","2020","9.04"
"","EU_AFTER_MAY2004","ALL","1980","59.7"
"","EU_AFTER_MAY2004","ALL","1981","56.5"
"","EU_AFTER_MAY2004","ALL","1982","55.08"
"","EU_AFTER_MAY2004","ALL","1983","54.02"
"","EU_AFTER_MAY2004","ALL","1984","51.24"
"","EU_AFTER_MAY2004","ALL","1985","49.58"
"","EU_AFTER_MAY2004","ALL","1986","47.18"
"","EU_AFTER_MAY2004","ALL","1987","45.47"
"","EU_AFTER_MAY2004","ALL","1988","44.17"
"","EU_AFTER_MAY2004","ALL","1989","41.69"
"","EU_AFTER_MAY2004","ALL","1990","42.65"
"","EU_AFTER_MAY2004","ALL","1991","42.54"
"","EU_AFTER_MAY2004","ALL","1992","46.08"
"","EU_AFTER_MAY2004","ALL","1993","49.17"
"","EU_AFTER_MAY2004","ALL","1994","52.13"
"","EU_AFTER_MAY2004","ALL","1995","51.7"
"","EU_AFTER_MAY2004","ALL","1996","52.79"
"","EU_AFTER_MAY2004","ALL","1997","51.54"
"","EU_AFTER_MAY2004","ALL","1998","53.42"
"","EU_AFTER_MAY2004","ALL","1999","50.61"
"","EU_AFTER_MAY2004","ALL","2000","49.99"
"","EU_AFTER_MAY2004","ALL","2001","50.32"
"","EU_AFTER_MAY2004","ALL","2002","50.48"
"","EU_AFTER_MAY2004","ALL","2003","50.41"
"","EU_AFTER_MAY2004","ALL","2004","46.2"
"","EU_AFTER_MAY2004","ALL","2005","43.07"
"","EU_AFTER_MAY2004","ALL","2006","41.01"
"","EU_AFTER_MAY2004","ALL","2007","38.67"
"","EU_AFTER_MAY2004","ALL","2008","36.96"
"","EU_AFTER_MAY2004","ALL","2009","35.02"
"","EU_AFTER_MAY2004","ALL","2010","32.14"
"","EU_AFTER_MAY2004","ALL","2011","31.05"
"","EU_AFTER_MAY2004","ALL","2012","29.04"
"","EU_AFTER_MAY2004","ALL","2013","27.81"
"","EU_AFTER_MAY2004","ALL","2014","26.62"
"","EU_AFTER_MAY2004","ALL","2015","25.57"
"","EU_AFTER_MAY2004","ALL","2016","23.8"
"","EU_AFTER_MAY2004","ALL","2017","21.64"
